epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.10328,1.10584,1.68318,4.54892,0.9154,0,0.00355,0.1312,0.01872,0.00907,0.00461,0.17024,0.02061,0.01049,0.65247,1.0559,4.06094,0.84649,0,0.00014994,0.00014994,0.00014994
2,6.71607,1.04698,1.3518,3.42763,0.86198,0,0.01763,0.72354,0.09124,0.06221,0.01984,0.7886,0.0965,0.07144,0.75209,1.13539,3.65046,0.84114,0,0.000300941,0.000300941,0.000300941
3,9.31001,0.92449,1.15804,2.60097,0.85519,0,0.02434,0.89329,0.27886,0.22432,0.02482,0.90783,0.281,0.21421,0.66629,1.13374,3.3353,0.86172,0,0.000445722,0.000445722,0.000445722
4,11.8697,0.88958,1.12331,2.16858,0.85241,0,0.02707,0.93081,0.43584,0.3508,0.02742,0.93922,0.43724,0.33798,0.71351,1.02584,3.09576,0.90368,0,0.000584282,0.000584282,0.000584282
5,14.4001,0.90975,1.17329,1.90214,0.85608,0,0.35381,0.67704,0.49431,0.37573,0.35302,0.67319,0.49289,0.36947,0.79457,1.15648,2.89171,0.93055,0,0.000657451,0.000657451,0.000657451
6,16.9372,0.90877,1.11712,1.72327,0.85431,0,0.53331,0.53574,0.61298,0.49491,0.53331,0.53574,0.61138,0.44991,0.69272,1.21493,2.07076,0.88848,0,0.000643314,0.000643314,0.000643314
7,19.4864,0.84228,1.06661,1.51634,0.84756,0,0.54328,0.66133,0.66762,0.53847,0.54375,0.66325,0.66793,0.49795,0.71765,1.15353,1.69994,0.89811,0,0.000629177,0.000629177,0.000629177
8,22.0657,0.82519,1.03932,1.40712,0.84462,0,0.59159,0.73769,0.7003,0.56795,0.5915,0.73797,0.7003,0.53697,0.71386,1.11595,1.5159,0.89967,0,0.00061504,0.00061504,0.00061504
9,24.6159,0.81622,1.03447,1.29072,0.84508,0,0.67457,0.78596,0.77022,0.61966,0.67271,0.78392,0.76838,0.5679,0.74468,1.2208,1.28672,0.9147,0,0.000600902,0.000600902,0.000600902
10,27.1563,0.78763,1.0169,1.24441,0.84563,0,0.73452,0.77557,0.85328,0.68414,0.73266,0.77279,0.85262,0.6435,0.71696,1.07097,1.15566,0.91341,0,0.000586765,0.000586765,0.000586765
11,29.676,0.75095,0.96677,1.13825,0.8382,0,0.73925,0.79815,0.81444,0.6654,0.73572,0.79677,0.81464,0.61545,0.69734,1.16125,1.11275,0.90527,0,0.000572628,0.000572628,0.000572628
12,32.257,0.76213,0.9841,1.04293,0.83652,0,0.80154,0.81018,0.88752,0.73338,0.80154,0.81018,0.88632,0.67954,0.67717,1.13215,0.98994,0.89892,0,0.000558491,0.000558491,0.000558491
